S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
123,IX,123,Bhemmannapet,4.81,10.024,6.29,7.286,6.86,5.9,5.97,6.456,6.56,6.29,5.2,4.888
124,IX,124,Mylapore,3.185,5.431,4.09,4.532,4.62,4.5,5.225,4.73,4.78,4.56,3.45,3.344
125,IX,125,Santhome,0.409,0.651,0.91,1.258,1.33,0.95,1.72,1.214,1.21,1.03,0.38,0.344
126,IX,126,Avvai Nagar North,3.963,0.65,4.79,5.159,5.18,4.92,1.224,5.053,4.99,4.59,4,4.059
127,X,127,Virugambakkam North,8.212,9.604,10.83,12.59,12.69,11.21,11.21,11.192,11.94,12.03,12.03,11.542
128,X,128,Virugambakkam South,2.607,2.485,2.54,2.861,2.89,0.89,1.85,2.252,2.55,2.34,2.09,11.436
129,X,129,Saligramam,0.862,1.152,1.44,1.905,1.97,1.85,1.54,0.919,1.11,1.05,1.05,1.911
130,X,130,Vadapalani West,2.657,3.663,4.34,4.978,4.82,4.6,5.38,4.861,4.98,4.29,2.81,0.905
131,X,131,Kodambakkam North,1.433,1.658,1.9,2.12,2.17,1.54,2.66,1.519,1.5,1.38,1.33,0.884
132,X,132,Ashok Nagar,2.244,3.048,3.23,4.713,4.89,2.66,3.26,2.67,2.35,2.24,2.28,2.626
133,X,133,MGR Nagar,3.423,4.38,5.28,5.809,5.92,5.38,4.52,5.243,5.87,4.97,3.96,4.27
134,X,134,Navalar Nedunchezian Nagar East,2.781,3.251,3.72,4.718,6.52,3.26,3.49,3.514,3.4,3.03,2.76,2.03
135,X,135,Kamarajar Nagar South / East,2.915,4.119,5.28,6.052,5.89,3.51,4.96,3.722,3.72,3.79,3.5,3.799
136,X,136,Thiyagaraya Nagar,3.388,4.729,5.44,5.992,5.8,4.52,6.25,5.685,5.36,5.78,4.73,2.698
137,X,137,Kodambakkam (S),1.644,1.76,1.97,2.225,2.23,1.5,1.5,1.358,1.32,1.28,1.56,2.788
138,X,138,Kalaignar Karunanidhi Nagar,12.878,14.393,16.04,18.171,17.94,14.74,14.25,15.247,15.32,13.68,12.57,12.644
139,X,139,Saidapet (West),1.988,2.392,2.89,3.393,3.46,2.31,1.825,2.723,2.03,2.03,1.54,1.526
140,X,140,Kumaran Nagar North / South,1.867,2.69,3.61,4.173,4.2,3.49,3.18,4.487,4.4,3.92,2.47,2.398
141,X,141,VOC Nagar,9.087,9.984,10.92,11.647,11.67,11.73,4.203,12.069,12.04,11.5,10.14,10.123
142,X,142,Saidapet East,5.254,5.89,6.26,6.974,7.12,11.72,12.06,7.647,7.78,7.67,6.19,5.796
143,XI,143,Nolambur,2.398,2.637,3.67,4.322,4.13,3.5,7.432,2.465,2.75,1.98,1.32,1.531
144,XI,144,Mettukuppam,2.433,3.68,4.66,5.341,5.54,4.64,3.444,4.457,5.58,5.11,2.62,2.223
145,XI,145,Nerkundram,2.571,3.813,4.54,5.204,5.33,5.45,5.238,5.473,5.45,5.03,2.6,2.172
146,XI,146,Nerkundram,0.901,1.83,2.562,3.419,3.51,3.43,3.759,3.052,3.28,3.28,0.87,0.564
147,XI,147,Maduravoyal,0.312,1.06,2,2.755,2.96,2.84,3.816,2.458,2.97,2.94,0.3,0.157
148,XI,148,Nerkundram,,2.324,2.89,3.61,3.65,3.14,3.333,2.928,3.32,2.99,1.34,0.971
149,XI,149,Valasaravakkam,1.516,2.166,2.59,3.318,3.1,2.74,3.645,2.68,2.95,2.98,1.67,1.442
150,XI,150,Karambakkam,1.225,1.656,2.26,2.792,2.84,2.7,2.82,1.471,2.16,1.98,1.01,0.985
151,XI,151,Porur,1.379,2.04,2.74,3.378,3.49,3.62,3.973,3.585,3.88,3.91,1.66,1.389
152,XI,152,Valasaravakkam,2.28,2.871,3.46,3.987,3.98,4.3,4.405,4.126,4.4,4.27,2.69,2.203
153,XI,153,Porur,4.41,5.429,4.97,4.744,4.77,4.15,4.403,2.642,3.26,2.99,2.77,2.762
154,XI,154,Ramapuram,1.39,2.436,3.25,3.898,4.07,3.96,4.382,3.671,4.23,4.23,2.04,1.575
155,XI,155,Ramapuram,1.891,2.523,3.07,3.655,3.74,4.11,4.471,4.15,4.37,4.27,2.89,2.351
156,XII,156,Mugalivakkam,11.884,13.612,14.62,15.404,15.33,15.65,15.808,15.71,15.26,14.81,12.53,12.388
157,XII,157,Manapakkam,1.986,3.044,4.21,5.046,5.43,4.76,5.194,4.439,4.94,4.28,1.63,1.603
158,XII,158,Nandambakkam,3.398,4.419,5.75,6.516,6.71,6.41,7.374,6.107,6.72,5.98,3.5,3.256
159,XII,159,Meenampakkam,2.796,3.665,4.03,5.027,5.01,4.69,7.405,4.006,4.6,4.11,2.96,2.561
160,XII,160,Alandur,1.212,1.754,4.44,6.087,6.69,3.47,4.759,1.814,3.88,2.64,1.04,2.696
161,XII,161,Alandur Part / Adampakkam Part,2.528,2.646,2.93,2.541,2.65,2.38,4.485,2.586,2.69,2.43,2.87,2.432
162,XII,162,T.G.Nagar / Nanganallur Part,2.62,3.08,3.84,4.13,4.4,3.16,3.721,2.623,3.43,2.73,2.44,2.88
163,XII,163,Adampakkam Part,2.123,2.775,3.57,4.592,4.7,2.64,3.677,2.373,2.64,1.91,1.73,1.825
164,XII,164,Nanganallur Part / Pazhavanthangal Part,2.774,3.149,3.9,4.378,4.49,3.7,3.268,3.683,4.59,3.84,3.06,3.202
165,XII,165,Adampakkam Part / Balaji Nagar,3.548,4.233,4.19,4.426,4.62,2.94,3.962,3.806,4.04,3.18,3.04,3.439
166,XII,166,B.V.Nagar / Nanganallur Part,1.931,2.451,3.55,3.31,3.42,2.2,2.375,1.782,2.08,1.93,1.74,1.961
167,XII,167,Nanganallur,2.694,3.092,3.279,3.262,3.27,2.54,2.371,2.364,3.12,2.53,2.27,2.348
170,XIII,170,Guindy West,2.852,3.487,3.99,4.4,4.45,4.51,4.793,4.645,4.63,4.6,3.52,3.222
171,XIII,171,GD Naidu Nagar South,3.656,4.234,4.77,5.322,5.54,5.33,5.62,5.916,5.9,6,4.66,4.247
172,XIII,172,GD Naidu Nagar East,1.281,1.722,1.89,2.586,3.08,2.25,2.35,3.49,2.46,2.63,2.01,1.288
173,XIII,173,Raja Annamalaipuram,1.175,#REF!,1.79,0,2.07,1.79,1.938,1.854,1.78,1.63,1.07,1.213
174,XIII,174,Guindy East,1.419,1.519,1.67,1.83,1.55,,,1.463,,,,1.395
175,XIII,175,Adyar West,1.695,2.499,3.28,3.575,3.59,3.51,3.466,3.79,3.87,3.91,1.58,1.97
176,XIII,176,Adyar East,1.588,2.024,2.42,2.758,2.85,3.02,3.503,3.388,3.55,3.73,2.51,2.216
177,XIII,177,Velachery,0.998,1.266,1.65,2.117,2.21,1.2,2.001,1.896,2.29,1.61,1.17,1.19
178,XIII,178,Velachery,0.584,0.658,0.81,0.734,0.74,0.68,2.022,0.69,0.68,0.65,0.6,0.524
179,XIII,179,Velachery,2.218,2.439,2.82,2.981,2.98,2.12,0.856,2.407,2.44,2.26,2.06,1.902
180,XIII,180,Thiruvanmiyur West,,1.568,1.75,1.093,1.33,1.15,1.25,1.15,1.15,1.15,1.15,1.23
181,XIII,181,Thiruvanmiyur,1.212,1.534,1.89,1.99,2.01,2.03,2.564,2.33,2.42,2.62,1.74,1.62
182,XIII,182,Thiruvanmiyur,1.834,2.25,2.63,2.946,3,3.03,2.207,3.419,3.6,3.7,2.59,2.363
,XIV,168,Ullagaram,3.551,4.408,5.25,6.292,6.51,6.14,6.48,5.88,6.17,6.17,3.06,3.063
,XIV,169,Puzhuthivakkam,0.434,1.124,1.92,2.513,2.61,0.53,0.68,0.53,1.55,1.55,0.09,0.341
183,XIV,183,Kottivakkam,2.804,2.88,3.38,3.349,3.34,2.79,3.966,4.037,4.02,3.5,3.42,2.868
184,XIV,184,Perungudi,2.387,3.152,3.88,4.509,4.56,2.9,3.987,4.336,4.31,3.57,1.69,1.47
185,XIV,185,Palavakkam,3.203,3.779,4.04,4.261,4.39,4.28,3.684,4.21,4.39,4.29,3.41,3.519
186,XIV,186,Perungudi,5.767,8.017,9.73,10.709,10.97,11.88,1.56,12.27,12.27,12.27,10.18,8.595
187,XIV,187,Madipakkam,0.287,0.778,1.32,2.155,2.13,2.13,4.253,3.21,3.27,3.07,1.47,0.535
188,XIV,188,Madipakkam,2.035,2.49,3.43,4.72,5.02,4.45,2.538,6.888,6.72,5.33,2.41,0
189,XIV,189,Pallikaranai,2.606,3.335,4.55,5.4,5.64,4.26,6.696,4.834,4.14,3.43,2.53,2.529
190,XIV,190,Pallikarania,2.081,2.5,3.52,4.819,5.09,4.72,5.24,5.557,5.17,4.62,2.03,2.13
191,XIV,191,Jalladampettai,4.151,4.614,4.98,0,4.68,4.38,4.69,0,4.82,4.68,,3.08
192,XV,192,Neelankarai,3.784,4.375,4.82,5.282,5.28,5.14,5.581,5.806,6.05,5.64,5.86,4.074
193,XV,193,Neelankarai,2.624,2.887,3.12,3.278,3.31,3.65,3..72,3.643,3.81,4.92,3.2,3.268
194,XV,194,Okkiyam Thuraipakkam,1.936,2.212,2.385,2.603,2.6,2.52,5.678,2.276,2.562,2.23,2.48,1.858
195,XV,195,Okkiyam Thuraipakkam,1.737,1.888,1.93,2.033,2.03,1.63,2.476,1.56,1.62,1.46,1.58,1.18
196,XV,196,Injampakkam,5.456,5.828,6.13,6.511,6.56,6.65,6.718,6.72,6.77,6.77,6.77,5.699
197,XV,197,Karapakkam,1.616,2.293,3.18,3.684,3.91,4.07,4.588,4.279,4.78,4.03,1.6,1.525
198,XV,198,Shozhinganallur,3.608,4.836,5.75,6.809,6.31,6.22,6.505,6.188,6.46,5.85,5.26,4.673
199,XV,199,Uthandi,1.492,1.968,0,2.478,2.5,0,2.685,2.676,2.84,2.61,,1.591
200,XV,200,Semmenchery,2.133,2.818,3.27,4.042,3.82,4.06,4.703,4.556,4.16,4.19,2.58,2.416
