Location,Area No.,min_level,max_level,avg_level,change_2021_2024
Nanganallur,XII,2.539166666666667,2.825833333333333,2.7041666666666666,-0.13583333333333325
Nanganallur Part / Pazhavanthangal Part,XII,3.433000000000001,4.426666666666667,3.767958333333334,0.8839999999999999
Narayana Garden / Old Washermenpet,V,3.313333333333333,5.871083333333334,4.169770833333333,-2.557750000000001
Navalar Nedunchezian Nagar East,X,3.5395,4.22,3.8282083333333334,0.4219999999999997
Neelankarai,XV,2.143333333333333,5.140999999999999,3.7527708333333334,
Nerkundram,XI,2.2695000000000003,4.405916666666667,3.0953428030303027,
Nolambur,XI,2.153,3.1779166666666665,2.6572916666666666,-0.8168333333333324
Nolambur (Part) / Mugappair Eri Scheme,VII,8.437499999999998,8.653666666666666,8.503979166666666,0.02191666666666947
Nungambakkam,IX,7.111916666666667,10.25325,8.304,-2.313249999999999
Okkiyam Thuraipakkam,XV,1.6966666666666663,2.611666666666667,2.0246770833333336,
Ondikuppam,I,3.9133333333333336,4.596,4.265708333333333,-0.6826666666666665
Padi Pudhu nagar,VII,3.5817499999999995,5.180333333333334,4.228562500000001,-1.2970000000000015
Padikuppam,VII,3.347,4.273833333333333,3.801125,-0.7638333333333334
Palavakkam,XIV,3.501916666666667,3.9546666666666654,3.6896458333333326,0.13808333333333334
Pallikaranai,XIV,1.5266666666666666,4.1625000000000005,2.8742500000000004,-2.150333333333334
Pallikarania,XIV,2.625,3.956416666666667,3.3255625,-0.5608333333333335
Pannerselvam Nagar,VIII,1.1095833333333334,4.152272727272727,3.0901515151515153,-0.20893939393939442
Pattalam SC (G),VI,11.97,14.751818181818182,13.804139393939394,
Perambur (East),IV,4.773333333333333,6.788833333333334,5.677128787878788,-2.0155000000000003
Perambur (North),IV,5.266666666666667,17.013250000000003,10.679625,-11.746583333333337
Perambur (South),VI,8.45,23.12975,15.251875,-14.679750000000002
Periyar Nagar North,IX,4.168333333333333,9.814500000000002,5.805104166666667,-5.646166666666669
Perungudi,XIV,2.5599166666666666,10.395,6.370947916666667,
Poonga Nagar,V,9.223333333333333,10.220333333333334,9.502145833333334,-0.9970000000000017
Porur,XI,2.920333333333333,4.5633333333333335,3.6186041666666666,
Pulianthope,VI,7.27,9.940666666666669,8.680458333333334,-2.670666666666669
Purasawalkam,VIII,3.4466666666666668,9.806916666666664,5.439100378787878,-6.360249999999997
Puthagaram,VII,0.4329166666666666,2.016666666666667,1.1311875000000002,0.6202500000000002
Puzhal,III,6.859999999999999,8.590000000000002,7.541791666666667,1.7300000000000022
Puzhuthivakkam,XIV,1.0433333333333332,1.7163636363636363,1.4030492424242422,-0.6730303030303031
Raja Annamalaipuram,XIII,1.3400833333333333,1.93075,1.6425568181818182,0.4765833333333336
Raja Shanmugam Nagar,I,1.5066666666666668,1.91925,1.6679583333333334,-0.322583333333333
Ramapuram,XI,3.119916666666667,3.76525,3.42978125,
Royapuram,V,1.913333333333333,3.97875,2.745083333333333,-2.0654166666666667
Sadaiyankuppam,I,3.4166666666666665,4.132750000000001,3.66425,-0.061499999999999666
Sadayankuppam,I,0.7933333333333333,2.204090909090909,1.343564393939394,-1.4107575757575757
Saidapet (West),X,2.3422500000000004,3.760166666666666,2.784666666666667,-1.0768333333333326
Saidapet East,X,6.073333333333333,7.530083333333334,6.919145833333333,-1.1835000000000004
Saligramam,X,1.3586363636363634,2.874,2.017304924242424,-0.43400000000000016
Santhome,IX,0.9505,3.013909090909091,1.7010189393939394,-1.427242424242424
Sathankadu,I,3.07725,3.50925,3.2286875,-0.28591666666666704
Sathiyamoorthi Nagar,IX,6.363,8.732,7.593812499999999,1.3303333333333311
Sembium,VI,4.27,13.0405,8.5091875,-8.7705
Semmenchery,XV,3.2345,3.9613333333333327,3.521208333333333,0.09216666666666651
Seven Wells (North / South),V,5.06125,6.8968333333333325,5.844979166666667,-1.5101666666666658
Shenoy Nagar,VIII,1.6341666666666663,8.196583333333333,5.156104166666666,-1.233249999999999
Shozhinganallur,XV,4.221416666666667,5.9214166666666666,5.369645833333333,1.4085833333333326
Siruvallur,VI,0.0,17.038333333333334,5.698244444444445,
Sowcarpet,V,5.233333333333333,6.55725,5.841541666666666,-1.3239166666666664
Surappattu,III,8.563333333333333,16.295916666666667,11.200458333333334,-1.0894999999999992
T.G.Nagar / Nanganallur Part,XII,2.7850833333333327,3.53,3.268958333333333,0.023749999999999716
Teynampet,IX,7.309166666666667,9.466,8.081041666666668,-1.5026666666666655
Thatankulam,III,4.406666666666667,4.85775,4.626895833333334,-0.39724999999999966
Theeumpakkam,I,1.43725,2.7795454545454548,1.966594696969697,-0.5762121212121212
Thilagar Nagar,I,0.2260909090909091,1.3794166666666667,0.9421268939393939,-0.20299999999999985
