S.No.,Area No.,Dept No.,Location,Jan ,Feb,Mar,Apr ,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year,Post-Monsoon Rise,Recharge Potential,Low Level
45.0,IV,45,Elango Nagar,7.389,7.48,7.53,7.596,7.6,7.62,7.588,7.577,7.57,7.55,4.93,4.901,7.1109166666666646,2022,-0.07000000000000028,High,No
46.0,IV,46,Vyasarpadi (South),2.036,2.556,3.07,3.571,3.73,2.96,2.743,2.914,2.77,2.75,2.03,2.001,2.7609166666666667,2022,-0.20999999999999996,High,No
47.0,IV,47,Dr.Radhakrishnan Nagar (South),1.714,2.017,2.29,2.698,2.73,2.11,2.037,2.052,2.22,2.3,1.49,1.648,2.108833333333333,2022,0.18999999999999995,High,Yes
48.0,IV,48,Mottai Thottam,2.028,2.364,2.75,3.293,3.34,2.65,2.554,2.871,3.13,3.47,2.11,1.669,2.685749999999999,2022,0.8200000000000003,High,No
49.0,V,49,Grace Garden,3.035,3.303,3.66,4.141,4.21,4.12,4.04,4.26,4.49,4.66,2.94,1.336,3.682916666666666,2022,0.54,High,No
50.0,V,50,Royapuram,2.175,2.393,2.48,2.522,2.53,2.62,2.635,2.655,2.68,2.71,2.32,3.58,2.608333333333333,2022,0.08999999999999986,High,Yes
51.0,V,51,Narayana Garden / Old Washermenpet,2.866,3.179,3.54,4.193,3.97,3.87,3.988,4.125,4.26,4.26,2.81,3.969,3.7525,2022,0.3899999999999997,High,No
52.0,V,52,Meenakshiammanpet,3.551,3.764,4.01,4.294,4.38,4.59,4.438,4.609,4.71,4.72,3.22,3.143,4.119083333333333,2022,0.1299999999999999,High,No
53.0,V,53,Basin Bridge,24.832,0.0,24.83,24.82,24.83,24.83,24.83,24.83,24.83,24.83,24.83,25.86,22.846,2022,0.0,High,No
54.0,V,54,Kondithope / Peddunaickenpet,3.008,3.304,3.64,4.246,4.21,3.65,4.122,3.812,4.14,4.27,3.66,5.169,3.935916666666666,2022,0.6199999999999997,High,No
55.0,V,55,Seven Wells (North / South),3.218,4.494,4.97,5.492,5.51,5.27,5.692,5.987,6.2,6.3,4.85,2.752,5.06125,2022,1.0300000000000002,High,No
56.0,V,56,Muthialpet,4.068,10.771,10.972,10.689,10.67,10.52,10.605,10.6,,10.48,,9.812,9.9187,2022,-0.03999999999999915,High,No
57.0,V,57,Sowcarpet,10.877,4.189,4.61,5.153,5.12,5.41,5.529,5.92,6.01,6.1,4.69,4.344,5.6626666666666665,2022,0.6899999999999995,High,No
58.0,V,58,Poonga Nagar,7.977,8.438,9.08,9.454,9.46,9.99,9.977,10.033,10.0,9.68,8.05,9.059,9.266499999999999,2022,-0.3100000000000005,High,No
59.0,V,59,Edapalayam / Nehru Nagar,5.284,6.062,6.7,7.204,7.14,6.86,7.29,7.47,7.47,7.49,5.3,7.44,6.809166666666666,2022,0.6299999999999999,High,No
60.0,V,60,Vallal Seethakathi Nagar,3.887,3.889,3.9,3.908,3.9,3.95,3.962,3.983,4.0,4.02,4.02,4.91,4.027416666666666,2022,0.0699999999999994,High,No
61.0,V,61,Egmore / Pudupet,5.687,6.406,7.18,8.082,8.24,8.98,9.078,9.598,9.52,9.38,6.66,9.626,8.203083333333334,2022,0.40000000000000036,High,No
62.0,V,62,Chintadripet,2.172,2.55,2.72,2.988,2.95,2.49,2.746,2.74,2.71,2.68,1.96,3.799,2.70875,2022,0.18999999999999995,High,No
63.0,V,63,Komaleeswaranpet,,3.183,4.22,4.867,4.81,4.63,4.99,5.36,5.66,5.37,3.15,2.788,4.457090909090908,2022,0.7400000000000002,High,No
64.0,VI,64,Kolathur,1.496,1.856,2.1,2.38,2.38,0.9,1.236,2.075,2.35,1.66,1.53,1.78,1.8119166666666668,2022,0.7599999999999999,High,Yes
65.0,VI,65,Venus Nagar,1.413,1.12,1.56,2.033,2.12,0.45,0.675,1.026,1.29,0.77,0.76,1.526,1.2285833333333334,2022,0.32,High,Yes
66.0,VI,66,Agaram (North),1.344,1.853,2.18,2.42,2.47,2.48,2.52,1.96,1.88,1.85,1.26,3.123,2.111666666666667,2022,-0.6299999999999999,Low,Yes
67.0,VI,67,Agaram (South),6.579,7.643,8.62,9.642,9.92,10.36,10.076,10.251,10.28,10.28,6.37,7.531,8.962666666666669,2022,-0.08000000000000007,High,No
68.0,VI,68,Sembium,7.44,8.624,9.52,10.249,10.43,10.87,10.521,10.723,10.68,10.72,6.16,8.172,9.509083333333331,2022,-0.14999999999999858,High,No
69.0,VI,69,Siruvallur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.564,0.05639999999999999,2022,0.0,High,Yes
71.0,VI,71,Thiru Vi Ka Nagar,13.972,14.458,15.27,15.388,15.51,15.65,15.334,15.282,15.14,15.09,13.51,14.99,14.966166666666668,2022,-0.5600000000000005,High,No
72.0,VI,72,Dr Sathiyavanimuthu Nagar,2.4,2.966,3.32,4.012,4.02,3.37,3.253,3.149,3.29,3.42,2.23,2.203,3.136083333333333,2022,0.04999999999999982,High,No
73.0,VI,73,Pulianthope,7.008,8.052,9.22,10.019,10.13,9.89,9.77,9.77,9.72,9.72,9.72,10.575,9.466166666666668,2022,-0.16999999999999993,High,No
75.0,VI,75,Kosappet,3.386,4.545,5.87,7.216,7.6,7.12,7.649,6.966,7.77,7.93,3.16,3.256,6.038999999999999,2022,0.8099999999999996,High,No
76.0,VI,76,Pattalam SC (G),,,14.55,14.82,14.54,14.55,14.55,14.55,14.55,14.55,14.55,15.696,14.6906,2022,0.0,High,No
77.0,VI,77,Dr. Besant Nagar/ Thattankulam,6.504,7.638,8.75,9.693,9.85,9.41,9.562,9.162,9.55,9.67,6.49,7.432,8.642583333333333,2022,0.2599999999999998,High,No
78.0,VI,78,Choolai,6.029,7.146,8.18,9.108,9.31,7.71,9.34,8.94,9.28,9.52,7.3,7.202,8.255416666666667,2022,1.8099999999999996,High,No
