S.No.,Area No.,Dept No.,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly Average,Year
125.0,IX,125,Santhome,2.49,2.69,2.89,3.23,3.37,3.46,3.17,6.84,2.58,1.98,,0.453,3.013909090909091,2021
126.0,IX,126,Avvai Nagar North,4.82,5.09,5.32,5.43,5.36,5.3,5.19,2.96,4.79,4.46,2.825,3.947,4.624333333333333,2021
127.0,X,127,Virugambakkam North,6.93,8.09,8.81,9.8,8.86,10.09,9.29,8.16,8.44,8.72,3.632,8.065,8.240583333333333,2021
128.0,X,128,Virugambakkam South,1.83,2.12,2.5,2.88,3.21,3.33,2.9,5.49,2.54,2.62,1.034,2.487,2.745083333333333,2021
129.0,X,129,Saligramam,2.33,2.85,3.35,3.72,4.08,4.31,3.61,2.38,2.76,2.67,1.509,0.919,2.874,2021
130.0,X,130,Vadapalani West,4.46,4.82,5.16,5.68,5.41,5.92,5.82,3.23,5.08,4.99,0.587,3.001,4.513166666666667,2021
131.0,X,131,Kodambakkam North,2.33,2.57,2.65,2.76,2.96,3.07,2.58,5.77,2.38,2.31,1.195,1.625,2.683333333333333,2021
132.0,X,132,Ashok Nagar,2.76,3.48,3.98,4.05,4.08,4.91,3.71,3.41,3.18,2.98,0.654,2.444,3.3031666666666673,2021
133.0,X,133,MGR Nagar,5.77,5.85,5.92,6.17,5.73,6.12,6.1,5.99,5.81,5.48,1.736,3.974,5.3875,2021
134.0,X,134,Navalar Nedunchezian Nagar East,3.55,4.1,4.43,4.58,4.75,4.98,4.24,4.01,3.31,2.94,1.79,2.896,3.798,2021
135.0,X,135,Kamarajar Nagar South / East,3.13,4.53,5.01,4.52,4.21,4.52,3.27,3.59,3.49,3.51,,3.065,3.895,2021
136.0,X,136,Thiyagaraya Nagar,2.98,3.23,3.58,3.88,2.8,4.54,4.02,15.21,3.86,3.74,0.767,3.019,4.302166666666667,2021
137.0,X,137,Kodambakkam (S),2.02,2.07,2.09,2.5,2.6,2.66,2.16,1.99,1.6,1.22,0.612,1.676,1.9331666666666665,2021
138.0,X,138,Kalaignar Karunanidhi Nagar,9.79,10.52,15.48,0.0,14.82,16.24,15.94,15.22,14.49,15.81,6.339,7.28,11.827416666666664,2021
139.0,X,139,Saidapet (West),3.53,3.99,4.25,4.59,4.49,4.86,4.29,3.98,3.62,3.15,2.36,2.012,3.7601666666666667,2021
140.0,X,140,Kumaran Nagar North / South,2.64,3.32,3.69,3.91,3.66,3.8,3.55,7.96,3.68,3.45,0.579,1.579,3.484833333333334,2021
141.0,X,141,VOC Nagar,10.98,11.15,11.39,11.34,10.61,10.49,10.54,10.78,10.84,11.11,7.838,9.269,10.528083333333333,2021
142.0,X,142,Saidapet East,7.31,7.4,7.54,7.75,7.89,7.97,7.89,7.92,7.84,7.68,4.861,5.031,7.256833333333334,2021
143.0,XI,143,Nolambur,2.12,2.64,2.96,3.54,3.63,3.97,3.87,4.0,3.64,3.3,0.302,1.666,2.9698333333333324,2021
144.0,XI,144,Mettukuppam,3.53,4.33,4.97,5.38,5.41,5.78,5.64,5.6,5.54,5.27,0.963,2.221,4.552833333333333,2021
145.0,XI,145,Nerkundram,2.7,3.61,4.14,4.67,4.83,4.52,4.45,4.25,3.85,2.51,0.248,2.195,3.4977499999999995,2021
